sample	treatment
no019_EV_1         EV
no020_EV_2         EV
no021_EV_3         EV
no022_EV_4         EV
no023_EV_5         EV
no024_EV_6         EV
no025_gdf6Y_1      gdf6Y
no026_gdf6Y_2      gdf6Y
no027_gdf6Y_3      gdf6Y
no028_gdf6Y_4      gdf6Y
no029_gdf6Y_5      gdf6Y
#no030_gdf6Y_6      gdf6Y
no031_del9_1       del9
no032_del9_2       del9
no033_del9_3       del9
no034_del9_4       del9
no035_del9_5       del9
#no036_del9_6       del9
